Date,SurveyNo,Ship,SightNo,Time,Effort,EffType,Mixed,Lat,Lon,Biopsy,Photos,Tag,StockArea,InMgmtArea,Stock
11/13/1986,990,MAC,2,9:43:00,ON,S,FALSE,10.46666667,-139.2833333,No,No,No,OutsideEEZ,FALSE,UnkPelagic
8/19/1987,1080,MAC,5,15:30:00,ON,S,FALSE,12.05,-133.3,No,No,No,OutsideEEZ,FALSE,UnkPelagic
9/9/1987,1080,MAC,3,12:30:00,ON,S,TRUE,4.983333333,-137.25,No,No,No,OutsideEEZ,FALSE,UnkPelagic
8/22/1989,1268,MAC,1,6:45:00,ON,S,FALSE,11.8,-141.7333333,No,No,No,OutsideEEZ,FALSE,UnkPelagic
8/22/1989,1268,MAC,3,16:39:00,ON,S,FALSE,12.71666667,-143.1,No,No,No,OutsideEEZ,FALSE,UnkPelagic
8/22/1990,1370,MAC,4,15:42:00,ON,S,TRUE,11.53333333,-142.2666667,No,No,No,OutsideEEZ,FALSE,UnkPelagic
6/1/1997,1607,MAC,200,9:13:00,ON,S,TRUE,25.58733333,-136.0203333,Yes,No,No,OutsideEEZ,TRUE,HIPelagic
9/3/1998,1611,END,130,9:51:00,ON,N,FALSE,13.38616667,-153.5658333,No,No,No,OutsideEEZ,FALSE,UnkPelagic
8/18/1999,1614,MAC,68,13:54:00,ON,S,FALSE,7.031166667,-145.1091667,No,No,No,OutsideEEZ,FALSE,UnkPelagic
8/31/2002,1621,DJS,153,11:52:41,OFF,O,FALSE,29.449,179.1896667,No,No,No,HawaiiEEZ,TRUE,HIPelagic
9/24/2002,1621,DJS,184,9:02:59,ON,S,TRUE,27.28816667,-168.6483333,No,No,No,HawaiiEEZ,TRUE,HIPelagic
8/18/2005,1629,Mc2,74,7:14:10,OFF,O,FALSE,6.402333333,-163.9866667,Yes,Yes,No,PalmyraEEZ,FALSE,Palmyra
8/19/2005,1629,Mc2,84,12:50:22,OFF,O,FALSE,4.976333333,-163.6861667,No,Yes,No,PalmyraEEZ,FALSE,Palmyra
8/29/2005,1629,Mc2,149,11:37:24,OFF,O,FALSE,5.687833333,-163.8983333,No,Yes,No,PalmyraEEZ,FALSE,Palmyra
8/29/2005,1629,Mc2,151,13:58:46,ON,S,FALSE,5.629666667,-163.8966667,No,No,No,PalmyraEEZ,FALSE,Palmyra
8/29/2005,1629,Mc2,155,16:55:04,ON,S,FALSE,5.403833333,-164.0293333,No,Yes,No,PalmyraEEZ,FALSE,Palmyra
10/20/2005,1629,Mc2,200,16:42:56,ON,S,FALSE,15.04683333,-165.369,No,No,No,OutsideEEZ,TRUE,HIPelagic
10/25/2005,1629,Mc2,204,15:37:20,ON,S,FALSE,15.842,-163.5811667,No,No,No,OutsideEEZ,TRUE,HIPelagic
10/28/2005,1629,Mc2,207,11:28:35,ON,S,TRUE,13.25483333,-164.1825,No,Yes,No,OutsideEEZ,TRUE,HIPelagic
11/3/2005,1629,Mc2,213,14:47:39,OFF,O,FALSE,9.220666667,-160.7333333,No,No,No,PalmyraEEZ,FALSE,Palmyra
11/4/2005,1629,Mc2,216,8:21:16,ON,S,FALSE,7.771,-161.7641667,No,Yes,No,PalmyraEEZ,FALSE,Palmyra
11/4/2005,1629,Mc2,217,9:45:51,OFF,O,FALSE,7.682166667,-161.8338333,No,No,No,PalmyraEEZ,FALSE,Palmyra
11/4/2005,1629,Mc2,218,11:29:06,OFF,O,FALSE,7.525166667,-161.935,No,No,No,PalmyraEEZ,FALSE,Palmyra
11/4/2005,1629,Mc2,219,12:33:44,ON,S,FALSE,7.4605,-161.9883333,No,No,No,PalmyraEEZ,FALSE,Palmyra
9/7/2006,1631,Mc2,120,16:39:49,ON,S,TRUE,7.873,-144.7451667,No,Yes,No,OutsideEEZ,FALSE,UnkPelagic
9/10/2006,1631,Mc2,128,11:30:20,ON,S,FALSE,4.7585,-135.4976667,No,Yes,No,OutsideEEZ,FALSE,UnkPelagic
2/13/2009,901,OES,49,13:44:26,ON,S,FALSE,19.19183333,-156.0753333,No,Yes,No,MHI,TRUE,MHIorHIPelagic
2/20/2009,901,OES,79,13:37:15,ON,S,FALSE,21.39916667,-157.2581667,No,No,No,MHI,TRUE,MHIorHIPelagic
2/20/2009,901,OES,81,15:43:21,OFF,O,FALSE,21.4445,-157.3958333,No,Yes,No,MHI,TRUE,MHIorHIPelagic
4/28/2010,1004,OES,5,15:50:30,ON,S,FALSE,20.48083333,176.1758333,No,Yes,No,OutsideEEZ,FALSE,UnkPelagic
9/1/2010,1641,Mc2,35,15:54:08,ON,S,FALSE,28.8695,-176.9485,Yes,Yes,No,NWHI,TRUE,HIPelagic
9/5/2010,1641,Mc2,47,6:59:54,OFF,O,FALSE,29.20283333,-174.8803333,No,Yes,No,HawaiiEEZ,TRUE,HIPelagic
9/7/2010,1641,Mc2,61,9:44:31,OFF,O,FALSE,31.34066667,-177.1781667,No,Yes,No,HawaiiEEZ,TRUE,HIPelagic
9/10/2010,1641,Mc2,74,12:12:09,OFF,O,FALSE,29.66,-173.2163333,Yes,Yes,No,HawaiiEEZ,TRUE,HIPelagic
9/27/2010,1641,Mc2,98,8:59:28,ON,S,FALSE,19.22516667,-157.3011667,No,Yes,No,MHI,TRUE,MHIorHIPelagic
9/28/2010,1641,Mc2,103,17:23:07,ON,S,FALSE,17.86833333,-155.0071667,Yes,Yes,No,HawaiiEEZ,TRUE,HIPelagic
10/29/2010,1641,Mc2,224,16:43:04,ON,N,FALSE,20.96666667,-156.886,No,Yes,No,MHI,TRUE,MHIorHIPelagic
10/31/2010,1641,Mc2,231,12:48:43,ON,S,FALSE,20.50483333,-162.1466667,No,No,No,HawaiiEEZ,TRUE,HIPelagic
11/10/2010,1641,Mc2,241,10:38:55,ON,S,FALSE,26.80316667,178.861,Yes,Yes,No,HawaiiEEZ,TRUE,HIPelagic
10/26/2011,1108,OES,4,13:16:06,ON,S,FALSE,7.2405,-164.9346667,No,No,No,PalmyraEEZ,FALSE,Palmyra
11/7/2011,1108,OES,22,11:58:20,OFF,O,FALSE,5.9305,-162.0846667,No,Yes,No,PalmyraEEZ,FALSE,Palmyra
4/30/2012,1203,OES,37,7:52:25,OFF,O,FALSE,4.240166667,-162.729,No,Yes,No,PalmyraEEZ,FALSE,Palmyra
5/12/2012,1203,OES,68,17:06:55,OFF,O,FALSE,9.4525,-162.2058333,No,No,No,PalmyraEEZ,FALSE,Palmyra
5/13/2012,1203,OES,69,13:19:44,ON,N,TRUE,11.96733333,-161.1726667,No,Yes,No,OutsideEEZ,FALSE,UnkPelagic
5/14/2012,1203,OES,71,13:38:52,OFF,O,FALSE,14.8175,-160.2195,No,No,No,OutsideEEZ,TRUE,HIPelagic
5/16/2012,1203,OES,76,14:14:39,OFF,O,FALSE,19.29,-157.2183333,Yes,Yes,No,MHI,TRUE,HIPelagic
5/13/2013,1303,OES,13,7:09:54,ON,S,FALSE,24.30233333,-168.3195,No,No,No,NWHI,TRUE,NWHIorHIPelagic
5/15/2013,1303,OES,20,15:29:09,OFF,O,FALSE,25.7695,-171.4978333,Yes,Yes,Yes,NWHI,TRUE,HIPelagic
5/26/2013,1303,OES,59,15:29:11,ON,S,FALSE,24.995,-169.97,Yes,Yes,Yes,NWHI,TRUE,HIPelagic
5/27/2013,1303,OES,62,15:28:22,ON,S,FALSE,25.17733333,-168.3505,No,No,No,NWHI,TRUE,NWHIorHIPelagic
6/2/2013,1303,OES,89,10:16:54,OFF,O,FALSE,22.88983333,-163.8235,No,No,No,NWHI,TRUE,NWHIorHIPelagic
7/5/2016,1604,OES,21,18:15:11,OFF,O,FALSE,22.236,-158.5628333,No,No,No,MHI,TRUE,MHIorHIPelagic
7/7/2016,1604,OES,26,15:35:10,OFF,O,FALSE,22.35316667,-160.0158333,No,No,No,MHI-NWHI,TRUE,MHIorNWHIorHIPelagic
8/29/2017,1705,LAS,32,18:12:36,OFF,O,FALSE,17.65233333,-152.6471667,No,No,No,HawaiiEEZ,TRUE,HIPelagic
9/11/2017,1705,LAS,55,17:40:43,ON,N,FALSE,21.02716667,-157.4653333,No,No,No,MHI,TRUE,MHIorHIPelagic
9/12/2017,1705,LAS,56,6:30:55,ON,F,FALSE,20.47516667,-157.0316667,No,No,No,MHI,TRUE,MHIorHIPelagic
9/21/2017,1705,LAS,64,14:17:27,ON,S,FALSE,20.04283333,-161.9176667,No,No,No,HawaiiEEZ,TRUE,HIPelagic
9/29/2017,1705,LAS,73,13:22:08,ON,S,FALSE,23.5575,-175.8526667,Yes,Yes,No,HawaiiEEZ,TRUE,HIPelagic
10/31/2017,1705,LAS,114,18:01:14,OFF,O,FALSE,26.52483333,-175.6426667,No,No,No,NWHI,TRUE,NWHIorHIPelagic
11/2/2017,1705,LAS,115,14:24:41,OFF,O,FALSE,23.86733333,-173.7861667,No,Yes,No,HawaiiEEZ,TRUE,HIPelagic
11/2/2017,1705,LAS,116,15:41:00,OFF,O,FALSE,23.84033333,-173.7421667,No,No,No,HawaiiEEZ,TRUE,HIPelagic
11/7/2017,1705,LAS,125,7:14:37,ON,N,FALSE,21.92066667,-162.1935,No,No,No,NWHI,TRUE,NWHIorHIPelagic
11/30/2017,1705,LAS,159,13:36:18,ON,N,FALSE,22.834,-154.33,No,No,No,HawaiiEEZ,TRUE,HIPelagic
7/8/2017,1706,OES,1,17:50:44,ON,F,FALSE,20.5115,-158.5391667,No,Yes,No,MHI,TRUE,MHIorHIPelagic
7/15/2017,1706,OES,20,13:02:44,OFF,O,FALSE,21.18633333,-156.221,No,No,No,MHI,TRUE,MHIorHIPelagic
7/23/2017,1706,OES,33,7:06:44,ON,S,FALSE,25.1955,-172.9101667,Yes,Yes,No,NWHI,TRUE,HIPelagic
7/24/2017,1706,OES,35,7:26:01,ON,S,FALSE,24.56983333,-173.5926667,No,No,No,HawaiiEEZ,TRUE,HIPelagic
7/27/2017,1706,OES,39,17:17:00,ON,S,FALSE,21.20933333,-163.3106667,No,Yes,No,HawaiiEEZ,TRUE,HIPelagic
9/4/2017,1706,OES,116,14:03:08,OFF,O,FALSE,20.87816667,-158.7606667,No,Yes,No,MHI,TRUE,MHIorHIPelagic
9/12/2017,1706,OES,119,6:38:17,ON,F,FALSE,21.76316667,-159.2856667,Yes,Yes,Yes,MHI-NWHI,TRUE,HIPelagic
9/13/2017,1706,OES,122,8:37:29,ON,S,FALSE,22.10133333,-160.3198333,Yes,Yes,Yes,MHI-NWHI,TRUE,HIPelagic
9/17/2017,1706,OES,133,18:35:02,ON,S,FALSE,25.93083333,-172.7898333,No,Yes,No,NWHI,TRUE,NWHIorHIPelagic
9/19/2017,1706,OES,140,9:38:25,OFF,O,FALSE,25.85866667,-175.546,No,No,No,HawaiiEEZ,TRUE,HIPelagic
9/20/2017,1706,OES,141,10:03:51,ON,S,FALSE,26.62833333,-178.8121667,No,No,No,HawaiiEEZ,TRUE,HIPelagic
4/1/2019,1901,OES,2,9:04:29,OFF,O,TRUE,19.322,-157.1986667,No,Yes,No,MHI,TRUE,MHIorHIPelagic
4/1/2019,1901,OES,3,10:35:35,OFF,O,FALSE,19.2965,-157.2483333,No,No,No,MHI,TRUE,MHIorHIPelagic
4/1/2019,1901,OES,4,11:13:00,ON,N,FALSE,19.27566667,-157.3571667,No,No,No,MHI,TRUE,MHIorHIPelagic
